"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COL21A1",122.507486266944,0.306353848561618,0.316864275701156,0.966829876557461,0.333629086332827,NA
"ZBED3",36.7867100779489,0.306378304062739,0.359970641885867,0.851120253745248,0.394702555594767,NA
"PHACTR1",201.19928810231,0.306409593811859,0.163563101358374,1.87334179449498,0.0610212019895607,NA
"CBWD5",55.102265560771,0.307139750674637,0.412310265039223,0.744923851569447,0.456317755206422,NA
"SLX4IP",56.3295382895333,0.307280979701826,0.294814300292838,1.04228654918233,0.297278846633761,NA
"ZNF17",37.0744406934103,0.307323060467842,0.410899696568441,0.747927202269553,0.454504068709204,NA
"MALT1",253.469242518702,0.307994270586264,0.166997488318486,1.84430480773986,0.0651387312382112,NA
"CCDC28A",128.882783944231,0.308015021636669,0.218585065806935,1.4091311339116,0.158796396271353,NA
"KCNAB2",44.597152161696,0.308153983309559,0.359898297079923,0.85622517752877,0.391873238645469,NA
"H1FX-AS1",16.2037920328395,0.308506612241699,0.585479045547831,0.5269302370216,0.598242035261978,NA
"WTIP",81.7059752267935,0.308522135652921,0.286579808824969,1.07656619954462,0.28167411137178,NA
"ZNF273",20.299589702116,0.308757029487243,0.475641356571478,0.64913831655184,0.516248977319197,NA
"MIR17HG",27.0779911429593,0.308852028343806,0.41959834706996,0.736065884197373,0.461690603455358,NA
"RHOU",37.1863841978721,0.30886821428027,0.421981250615321,0.731947720022837,0.464200478086166,NA
"MAP7D2",13.4129934193935,0.309172804954509,0.611584046383438,0.505527910322026,0.613188100343951,NA
"LOC100131564",15.5319289526597,0.309680057407124,0.559409127547394,0.553584205472028,0.579863437858487,NA
"SNORA33",55.4064917584963,0.310295861856058,0.321766506389578,0.964351029999276,0.334869964741341,NA
"ERI2",54.3895262077332,0.311579545566157,0.29461973799967,1.05756507585553,0.290253771614874,NA
"FERMT1",12.3865514609082,0.312215548616091,0.677924613308798,0.460546117498576,0.645124277217065,NA
"ZNF614",115.653224067707,0.312478729514523,0.228009096925349,1.37046606353969,0.170541461975495,NA
"RNU4ATAC",61.4948742606309,0.312686276396911,0.329110684473541,0.950094576531592,0.342064198727073,NA
